,Attribute,Level,Estimate,Std. Err,p_raw,sig,data,respondents,order,var.names
41,Favorability rating among the public,70%,0.032383513,0.009040144,0.000340726,TRUE,data1,1583,1,70%
42,Favorability rating among the public,61%,0.026686292,0.008799549,0.002423856,TRUE,data1,1583,2,61%
43,Favorability rating among the public,52%,0.010807503,0.008906519,0.224962678,FALSE,data1,1583,3,52%
44,Favorability rating among the public,43%,0.004859394,0.008606906,0.572351002,FALSE,data1,1583,4,43%
45,Favorability rating among the public,34%,NA,NA,NA,NA,data1,1583,5,(Baseline = 34%)
40,Favorability rating among the public,NA,NA,NA,NA,NA,data1,1583,6,Favorability rating among the public:
23,Position on government deficit,Reduce deficit through tax increase,-0.000921509,0.007050436,0.89601078,FALSE,data1,1583,7,   Reduce deficit through tax increase
24,Position on government deficit,Reduce deficit through spending cuts,0.059111677,0.007088434,7.48E-17,TRUE,data1,1583,8,   Reduce deficit through spending cuts
25,Position on government deficit,Don't reduce deficit now,NA,NA,NA,NA,data1,1583,9,(Baseline = Don't reduce deficit now)
22,Position on government deficit,NA,NA,NA,NA,NA,data1,1583,10,Position on government deficit:
27,Position on abortion,Pro-life,-0.044246588,0.007757987,1.17E-08,TRUE,data1,1583,11,   Pro-life
28,Position on abortion,Pro-choice,0.013913034,0.007214404,0.053791998,FALSE,data1,1583,12,   Pro-choice
29,Position on abortion,No opinion (neutral),NA,NA,NA,NA,data1,1583,13,(Baseline = No opinion (neutral))
26,Position on abortion,NA,NA,NA,NA,NA,data1,1583,14,Position on abortion:
20,Position on immigrants,Opposes giving guest worker status,0.03634188,0.006850603,1.13E-07,TRUE,data1,1583,15,   Opposes giving guest worker status
21,Position on immigrants,Favors giving guest worker status,NA,NA,NA,NA,data1,1583,16,(Baseline = Favors giving guest worker status)
19,Position on immigrants,NA,NA,NA,NA,NA,data1,1583,17,Position on immigrants:
17,Position on national security,Maintain strong defense,0.041761216,0.006771293,6.94E-10,TRUE,data1,1583,18,   Maintain strong defense
18,Position on national security,Cut military budget,NA,NA,NA,NA,data1,1583,19,(Baseline = Cut military budget)
16,Position on national security,NA,NA,NA,NA,NA,data1,1583,20,Position on national security:
35,Policy area of expertise,Education,0.026086747,0.00958606,0.006502159,TRUE,data1,1583,21,   Education
32,Policy area of expertise,Health care,0.039607241,0.009392516,2.48E-05,TRUE,data1,1583,22,   Health care
36,Policy area of expertise,Economic policy,0.039092882,0.009447917,3.51E-05,TRUE,data1,1583,23,   Economic policy
31,Policy area of expertise,Public safety (crime),0.025803668,0.009560456,0.006954823,TRUE,data1,1583,24,   Public safety (crime)
33,Policy area of expertise,Foreign policy,0.032841485,0.009733449,0.000740615,TRUE,data1,1583,25,   Foreign policy
